x,y,source,method
-9.456053110838143,1.353484488327457,Real,UMAP
-10.363602015257088,4.267518914539768,Real,UMAP
-7.27257952380201,-0.09283050219302014,Real,UMAP
-10.583993288755623,5.081254876453831,Real,UMAP
4.300184396028312,-7.948305212657497,Real,UMAP
-9.804431292295662,1.987714327175571,Real,UMAP
-7.196814867735116,-0.15721651236300305,Real,UMAP
-9.483105036497323,1.4009141691517368,Real,UMAP
-8.132400843382088,0.39326009084696933,Real,UMAP
-8.835868212461678,0.7786269851517217,Real,UMAP
4.048245576143058,-7.990924917857693,Real,UMAP
-10.334188791990487,4.638598359425022,Real,UMAP
-9.376283976316659,1.0148842104267612,Real,UMAP
4.434307482957633,-7.897967421214626,Real,UMAP
-1.3552978961469813,-1.7076056830096706,Real,UMAP
-8.863327357053963,0.7025419690203206,Real,UMAP
-10.237737032652108,3.7566749223064915,Real,UMAP
3.8559637339113073,-7.921694838206814,Real,UMAP
3.328690138578208,-7.60305508295779,Real,UMAP
-10.586576792478768,5.151626504261448,Real,UMAP
4.354089167833122,-8.072222792308377,Real,UMAP
5.250118640184196,-7.525737845103786,Real,UMAP
-8.2493623225691,0.517309635181381,Real,UMAP
-1.0328417747022791,-5.899429880778835,Real,UMAP
-10.416861864805428,4.091055548984959,Real,UMAP
-8.318205210447518,0.4404395849000947,Real,UMAP
-10.625974032163827,5.066667474110081,Real,UMAP
-10.606087061643807,5.637088692982151,Real,UMAP
-7.137648913145272,-0.17950715939287976,Real,UMAP
4.083768633127006,-8.052745901744412,Real,UMAP
4.40423395943621,-8.147846304576444,Real,UMAP
4.589161542176994,-8.07510384241824,Real,UMAP
-10.616130205869881,3.951725400288059,Real,UMAP
4.251913932084831,-8.054595076243924,Real,UMAP
2.775960978984626,-7.482189261119411,Real,UMAP
-10.634072634458748,6.000855363209202,Real,UMAP
-10.843201967954842,3.700701869327976,Real,UMAP
3.3432163269517736,-7.659611784617947,Real,UMAP
3.019544986009391,-7.6238947741199,Real,UMAP
-9.2482636897566,1.1131634481739536,Real,UMAP
3.4789750249383764,-7.989046179454372,Real,UMAP
-9.088034960508553,0.8346035846066014,Real,UMAP
2.1151571543214636,-7.0979801050830345,Real,UMAP
3.2060936958787756,-7.771840178172634,Real,UMAP
-7.022591921568123,-0.20133771816973522,Real,UMAP
-8.908624026060311,0.7508940466236608,Real,UMAP
4.139347222566398,-7.791917883555935,Real,UMAP
-10.421794268369881,4.455331004459812,Real,UMAP
-10.472755762815682,4.303394950230076,Real,UMAP
4.438322928666862,-8.09777458826785,Real,UMAP
-8.807447764158455,0.8177122839283483,Real,UMAP
-9.370671602964608,9.140873826343967,Real,UMAP
-10.580581995725838,5.3727697499584695,Real,UMAP
-10.387483927488534,4.347884810764744,Real,UMAP
-10.63607058215162,5.229973710377171,Real,UMAP
2.3048643143174963,-7.226741873424099,Real,UMAP
-9.397196146726815,1.2257513769459263,Real,UMAP
4.208403495073112,-7.952443205516384,Real,UMAP
4.503287461519035,-8.00527962366824,Real,UMAP
-10.591826769590584,5.604055322010471,Real,UMAP
-10.397161814451424,4.24740067799802,Real,UMAP
-10.420197817564217,4.419913447697117,Real,UMAP
3.427135852098258,-7.909843527476833,Real,UMAP
-9.814163538694588,1.9440346129726902,Real,UMAP
-9.833240839719979,2.1051031716656223,Real,UMAP
-8.114381167173592,0.22770487447495624,Real,UMAP
-10.565885874510018,5.19293872197385,Real,UMAP
-10.49755510973951,5.118684686024143,Real,UMAP
-10.595748278379647,5.879143632252171,Real,UMAP
-1.3885630099775477,-1.5634129873919949,Real,UMAP
-9.366740557432381,9.145109093983127,Real,UMAP
-10.247091624021737,3.4789275296520725,Real,UMAP
5.260019686937126,-7.534681402843044,Real,UMAP
-9.435462328672616,1.289571381409122,Real,UMAP
-10.624842020750252,6.708251393635227,Real,UMAP
3.848395136117728,-7.7101956240344505,Real,UMAP
-7.912614199400155,0.3252069123577611,Real,UMAP
-9.307782503843514,1.1604639061283604,Real,UMAP
-9.632051798582284,1.6309956677746311,Real,UMAP
-10.296485277891366,3.8502697118114964,Real,UMAP
-9.737008425474373,1.8552152283978,Real,UMAP
-10.201611849546639,3.634967721302463,Real,UMAP
-8.641742083311287,0.6012667783092992,Real,UMAP
-10.571825358152596,5.514967358906223,Real,UMAP
2.118433323621543,-7.0534668795276145,Real,UMAP
5.216088917970451,-7.560154997508572,Real,UMAP
-0.8059521644117518,-0.8746156326938136,Real,UMAP
-9.735923144102303,1.8082877763103977,Real,UMAP
-10.478146883726327,4.70973674138303,Real,UMAP
-9.371607157469002,9.138450539905978,Real,UMAP
-0.49569282221814825,-5.9016958109546165,Real,UMAP
4.106228855371269,-4.456077658336208,Real,UMAP
3.6831550867555456,-8.137235724132108,Real,UMAP
4.5451486380098185,-8.034106337230252,Real,UMAP
-9.586100908994881,1.5463964112591282,Real,UMAP
-10.836404177427498,3.7240730889629856,Real,UMAP
4.550877121209892,-8.090427481334256,Real,UMAP
-10.637354227781502,5.497047341663792,Real,UMAP
-1.4242218463422938,-1.4887444607425198,Real,UMAP
-10.208684298277108,3.288193858463718,Real,UMAP
2.9338152976034,-7.4462233416247825,Real,UMAP
-8.140331598997323,0.44782477920169994,Real,UMAP
-8.320378634214608,0.33280307729954883,Real,UMAP
2.9187915296552496,-7.598587118785427,Real,UMAP
4.370894816636833,-8.115879141490506,Real,UMAP
-8.44261011767408,0.3658825748157041,Real,UMAP
-10.613157603025643,5.533452428181126,Real,UMAP
-0.6791511504652186,-5.8908644549060325,Real,UMAP
4.1980992825029215,-7.956699453990505,Real,UMAP
4.3249255688188395,-8.22240837733035,Real,UMAP
-10.103947970152108,3.015632308323337,Real,UMAP
3.225472536802085,-7.72281941096072,Real,UMAP
3.2459847004411535,-7.726732336680935,Real,UMAP
-10.627158495664803,6.682119286854221,Real,UMAP
-8.913038584470955,0.8482278056931035,Real,UMAP
-10.26107058215162,3.580016530353977,Real,UMAP
3.6366185219285803,-4.9334059588122825,Real,UMAP
3.0487352282998876,-7.657268606822536,Real,UMAP
-8.402283999204842,0.3887774788331525,Real,UMAP
-0.630685660124032,-6.107397638957546,Real,UMAP
-9.221224161863534,1.0924861796688572,Real,UMAP
3.636682239293845,-4.909328543345974,Real,UMAP
2.6203599208293276,-7.404060923259304,Real,UMAP
4.33610549283007,-4.238175474803493,Real,UMAP
-10.616840693235604,6.5396494038891335,Real,UMAP
3.9446944267747717,-7.7509108416247825,Real,UMAP
3.9021531612871008,-7.961891256969021,Real,UMAP
3.641716089963706,-8.144840323131131,Real,UMAP
-9.720903727293221,1.7215719588589207,Real,UMAP
4.519976881265434,-8.097244345347928,Real,UMAP
-10.553382250547616,4.667827046711399,Real,UMAP
3.6136369378564672,-7.828703962962673,Real,UMAP
-10.573097559690682,6.035483277637913,Real,UMAP
-7.517359110594002,0.01891041477437183,Real,UMAP
-8.069938036680428,0.2839444645237462,Real,UMAP
2.909908425926955,-5.176782690684841,Real,UMAP
3.35438671421984,-7.914538466136501,Real,UMAP
-10.551553103208748,4.519043362934544,Real,UMAP
4.495722559213432,-8.082554899852322,Real,UMAP
3.6655940086839514,-7.7287531725574,Real,UMAP
3.204850104570182,-7.785719954173611,Real,UMAP
5.220135119676383,-7.566230856578396,Real,UMAP
4.574785259485038,-8.175054632823514,Real,UMAP
-9.30951628375074,1.1215818293880955,Real,UMAP
-10.565783831358162,5.4548362859081765,Real,UMAP
