pc12,pc21,relaxation,Fnoise,scale,offset,relaxT,pco1,poc2,po12,po21
pc12,0.0
pc21,0.23
relaxation,-0.0
Fnoise,0.16
scale,0.46
offset,0.54
relaxT,6.64
pco1,0.33
poc2,0.14
po12,0.34
po21,0.4
pc12,-0.33
pc21,1.39
relaxation,-0.36
Fnoise,0.13
scale,-0.29
offset,-0.36
relaxT,-0.5
pco1,-0.11
poc2,0.28
po12,-0.27
po21,-0.77
pc12,0.25
pc21,-0.43
relaxation,-0.4
Fnoise,0.22
scale,0.01
offset,0.11
relaxT,-0.1
pco1,-0.29
poc2,-0.23
po12,-0.04
po21,0.05
pc12,0.14
pc21,0.5
relaxation,0.78
Fnoise,0.14
scale,-0.24
offset,0.82
relaxT,0.12
pco1,0.89
poc2,-0.51
po12,0.14
po21,-0.07
pc12,0.35
pc21,0.28
relaxation,0.87
Fnoise,0.02
scale,-0.51
offset,0.26
relaxT,-0.11
pco1,1.63
poc2,-1.07
po12,0.28
po21,0.1
pc12,0.16
pc21,0.45
relaxation,0.31
Fnoise,-0.33
scale,-0.64
offset,0.27
relaxT,-0.21
pco1,1.26
poc2,-0.95
po12,-0.27
po21,0.42
pc12,-0.26
pc21,0.26
relaxation,0.41
Fnoise,-0.49
scale,-0.3
offset,0.57
relaxT,-0.59
pco1,1.27
poc2,-1.03
po12,0.45
po21,0.1
pc12,0.5
pc21,-0.27
relaxation,0.65
Fnoise,-0.14
scale,-0.74
offset,0.27
relaxT,-0.56
pco1,1.15
poc2,-0.27
po12,-0.21
po21,0.53
pc12,0.17
pc21,-0.04
relaxation,0.75
Fnoise,-0.51
scale,-0.37
offset,0.16
relaxT,-0.73
pco1,1.09
poc2,-0.65
po12,0.52
po21,-0.07
pc12,0.15
pc21,-0.29
relaxation,0.23
Fnoise,-0.05
scale,0.09
offset,0.64
relaxT,-0.16
pco1,1.55
poc2,-0.5
po12,-0.11
po21,0.23
pc12,-0.04
pc21,-0.19
relaxation,0.62
Fnoise,-0.72
scale,0.01
offset,0.29
relaxT,-0.23
pco1,0.65
poc2,-0.14
po12,-0.19
po21,-0.16
pc12,-0.09
pc21,0.37
relaxation,0.99
Fnoise,-0.86
scale,-0.44
offset,-0.1
relaxT,-0.37
pco1,1.25
poc2,-0.82
po12,-0.05
po21,-0.41
pc12,0.29
pc21,0.12
relaxation,0.74
Fnoise,-0.07
scale,0.16
offset,0.42
relaxT,-0.64
pco1,0.77
poc2,0.26
po12,-0.07
po21,0.02
pc12,-0.37
pc21,-0.48
relaxation,0.42
Fnoise,-0.08
scale,-0.5
offset,0.01
relaxT,-0.43
pco1,0.91
poc2,-0.51
po12,-0.28
po21,-0.34
pc12,0.16
pc21,-0.58
relaxation,0.54
Fnoise,0.18
scale,-0.44
offset,0.3
relaxT,-0.31
pco1,1.24
poc2,-0.65
po12,0.82
po21,0.02
pc12,-0.14
pc21,-0.37
relaxation,0.58
Fnoise,-0.43
scale,-0.21
offset,0.04
relaxT,-0.35
pco1,0.77
poc2,-0.13
po12,-0.58
po21,0.23
pc12,0.72
pc21,0.75
relaxation,1.07
Fnoise,0.12
scale,-0.41
offset,0.5
relaxT,-0.57
pco1,0.57
poc2,-0.75
po12,-0.01
po21,-0.14
pc12,0.03
pc21,0.19
relaxation,0.91
Fnoise,0.12
scale,-0.4
offset,0.44
relaxT,-0.06
pco1,0.64
poc2,-0.19
po12,0.27
po21,-0.39
pc12,-0.17
pc21,0.06
relaxation,0.41
Fnoise,-0.15
scale,-0.79
offset,0.39
relaxT,-0.65
pco1,1.02
poc2,-0.92
po12,0.45
po21,-0.5
pc12,0.46
pc21,-0.06
relaxation,1.14
Fnoise,-0.64
scale,0.41
offset,0.18
relaxT,-0.93
pco1,0.67
poc2,0.25
po12,0.1
po21,-0.27
pc12,0.09
pc21,0.05
relaxation,0.61
Fnoise,-0.81
scale,-0.17
offset,0.14
relaxT,-0.76
pco1,1.16
poc2,-0.34
po12,-0.39
po21,0.04
pc12,-0.24
pc21,-0.46
relaxation,1.01
Fnoise,-0.49
scale,0.04
offset,0.43
relaxT,-1.27
pco1,1.02
poc2,-1.06
po12,-0.63
po21,-0.24
pc12,0.15
pc21,0.16
relaxation,1.14
Fnoise,-0.38
scale,-0.37
offset,0.63
relaxT,-0.63
pco1,1.02
poc2,-0.21
po12,0.32
po21,-0.04
pc12,0.29
pc21,0.02
relaxation,0.88
Fnoise,-0.25
scale,-0.47
offset,0.69
relaxT,0.13
pco1,1.06
poc2,-0.46
po12,0.18
po21,-0.21
pc12,0.23
pc21,-0.17
relaxation,0.69
Fnoise,0.02
scale,0.31
offset,0.43
relaxT,-0.87
pco1,0.38
poc2,-0.54
po12,0.11
po21,0.05
pc12,0.49
pc21,-0.52
relaxation,0.11
Fnoise,-0.5
scale,-0.17
offset,0.58
relaxT,-0.23
pco1,0.93
poc2,-0.99
po12,0.16
po21,0.11
pc12,-0.46
pc21,-0.47
relaxation,0.03
Fnoise,-0.63
scale,-0.31
offset,-0.01
relaxT,-0.65
pco1,0.99
poc2,-0.37
po12,0.55
po21,-0.27
pc12,0.01
pc21,0.06
relaxation,0.95
Fnoise,-0.42
scale,-0.43
offset,-0.25
relaxT,-0.86
pco1,1.18
poc2,-0.26
po12,0.29
po21,-0.31
pc12,-0.16
pc21,-0.83
relaxation,0.46
Fnoise,-0.59
scale,-0.03
offset,0.04
relaxT,-0.81
pco1,1.11
poc2,-0.84
po12,-0.29
po21,-0.12
pc12,0.1
pc21,-0.64
relaxation,0.59
Fnoise,0.07
scale,-0.47
